lng,lat
145.04444885,-37.75725174
145.06600952,-37.82723236
145.17160034,-38.01147842
144.99034119,-37.86837006
145.28930664,-37.88255692
145.26464844,-37.76828384
144.81169128,-37.74285889
145.13174438,-37.8947258
145.13919067,-37.90759277
145.14373779,-37.78701401
145.05004883,-37.93781662
144.96708679,-37.73807144
145.03045654,-37.63715363
145.22680664,-37.86059952
145.22680664,-37.86059952
144.97914124,-37.8597374
144.96670532,-37.82116318
144.82963562,-37.86508942
145.18035889,-37.7888298
144.87261963,-37.8506546
145.04852295,-37.74558258
144.98991394,-37.70037842
144.98443604,-37.83166504
144.977005,-37.75747299
144.69973755,-37.88290024
144.93103027,-37.61936951
144.93103027,-37.61937332
144.95205688,-37.77684021
144.97923279,-37.84762192
145.04232788,-37.82279205
145.05250549,-37.95824051
144.95732117,-37.66341019
145.30067444,-37.8561554
145.27539063,-37.8304863
144.94392395,-37.81418991
144.96461487,-37.79506302
145.03616333,-37.85121155
144.89941406,-37.64157867
144.89942932,-37.64157867
144.99311829,-37.75879288
145.24264526,-37.85297012
145.24266052,-37.85296249
145.05250549,-37.95824051
144.96054077,-37.79978943
145.05093384,-37.71693802
145.175354,-37.96669388
144.88815308,-37.71463394
144.94392395,-37.81418991
144.6619873,-37.89004898
145.04798889,-37.72386551
144.75616455,-37.90072632
145.11683655,-38.05276871
145.02218628,-37.94641113
145.0295105,-37.80437851
144.9662323,-37.82260513
144.97438049,-37.83906174
144.88800049,-37.67625809
144.6619873,-37.89004898
144.92900085,-37.69036484
144.6619873,-37.89004898
145.17425537,-37.84315109
145.2071991,-37.85970688
145.14297485,-37.75790405
144.97859192,-37.84342194
144.91270447,-37.76486969
144.92980957,-37.68548965
145.05924988,-37.86003113
145.09233093,-37.60469055
145.09254456,-37.6068573
145.03096008,-37.6378212
145.30049133,-37.85630417
144.99264526,-37.80390549
145.26107788,-37.86153412
145.09506226,-37.60673523
144.86558533,-37.74067688
145.00648499,-37.73423767
145.10232544,-37.78320313
144.97459412,-37.7971077
144.96691895,-37.80074692
144.99243164,-37.76145935
145.24890137,-37.95016479
145.16253662,-37.89195633
145.12940979,-38.01099396
144.69857788,-37.8704071
145.12591553,-37.84810638
144.9161377,-37.78238678
144.95545959,-37.81847382
144.89097595,-37.85408783
144.95872498,-37.78659058
145.0241394,-37.86370087
144.91151428,-37.64865875
144.91149902,-37.64866257
144.74275208,-37.6985054
144.74275208,-37.69851303
144.80618286,-37.7879715
144.99046326,-37.64833069
144.76013184,-37.86873627
144.75531006,-37.71310806
144.75531006,-37.71310425
144.78562927,-37.8445549
144.87167358,-37.84127426
144.81874084,-37.80579758
144.88299561,-37.81531906
144.94104004,-37.78648376
144.81735229,-37.79204559
144.96318054,-37.80762863
144.84646606,-37.84166718
144.77709961,-37.86128235
144.77708435,-37.86128235
144.82896423,-37.8273468
144.75531006,-37.71310806
144.75531006,-37.71310425
145.04296875,-37.82271957
144.83061218,-37.74791336
144.69918823,-37.87545395
145.0579071,-37.82607269
144.96311951,-37.76849747
145.12484741,-37.81858063
145.23408508,-37.89818192
145.23408508,-37.89818192
145.1269989,-37.85031128
145.23408508,-37.89818192
145.28979492,-37.79970932
144.96311951,-37.76849747
145.26535034,-37.81842422
145.01246643,-37.84740448
144.89788818,-37.86077118
144.77754211,-37.87155533
144.89880371,-37.72669983
145.12896729,-37.9624939
145.01391602,-37.82991791
144.82772827,-37.79213333
145.09429932,-37.85669327
144.7641449,-37.82746124
144.89982605,-37.68549728
144.99812317,-37.61923218
144.95103455,-37.80620956
144.89656067,-37.79957962
144.94946289,-37.71453094
145.09429932,-37.85669327
145.16734314,-37.95817947
144.89955139,-37.68508911
145.00820923,-37.81015778
144.76924133,-37.79683685
144.87133789,-37.78307724
144.95811462,-37.82210922
145.01135254,-37.7739563
145.1723175,-37.7635994
145.1723175,-37.76359558
145.03553772,-37.78123856
145.00804138,-37.91462708
145.00518799,-37.82448578
145.28761292,-37.88866043
144.77980042,-37.70660782
144.89360046,-37.65169144
144.89358521,-37.65169525
144.93373108,-37.80930328
144.99653625,-37.80781555
144.97859192,-37.79754257
144.69424438,-37.86855698
145.27815247,-37.87689972
144.69424438,-37.86855698
145.03778076,-37.85283279
144.93591309,-37.82257462
145.21353149,-37.70100021
145.16729736,-37.70223618
145.2233429,-37.84737015
145.2233429,-37.84737015
144.68174744,-37.68540192
145.21601868,-37.89258957
145.21601868,-37.89258575
144.68174744,-37.68540573
145.04666138,-37.69581985
145.16815186,-37.70287323
144.91931152,-37.58282089
144.91908264,-37.58567429
145.17425537,-37.84453201
144.92799377,-37.57389069
144.93556213,-37.6967659
145.15065002,-37.59215546
144.87666321,-37.56201172
144.978302,-37.79814529
145.20869446,-37.99428558
145.23776245,-37.80719376
145.24926758,-37.88697052
145.0085144,-37.71120834
145.30361938,-37.83595657
145.30361938,-37.83595657
145.07731628,-37.95383072
144.82958984,-37.864151
144.98233032,-37.82085419
145.13058472,-37.89494324
144.88899231,-37.79288101
145.08892822,-38.00247192
145.09109497,-37.87390518
144.76037598,-37.77256393
144.76037598,-37.77255249
145.01153564,-37.92153931
145.21180725,-37.88026047
145.21180725,-37.88025665
145.0657959,-37.88743591
144.9888916,-37.82905197
145.15283203,-37.7814827
145.07266235,-37.6823082
145.22744751,-37.89725113
144.73536682,-37.71955872
144.73608398,-37.72108078
144.73608398,-37.72108459
144.80505371,-37.7860527
145.16072083,-37.9662323
144.99993896,-37.78884125
144.99885559,-37.83317184
144.78501892,-37.73558807
144.68235779,-37.88071442
145.15583801,-37.83659363
144.83590698,-37.79115295
145.12599182,-37.7870903
145.17289734,-37.96696091
145.17289734,-37.96696091
144.99711609,-37.6815834
144.96806335,-37.73434448
144.96653748,-37.81306458
144.98309326,-37.87210846
145.16671753,-37.95780945
144.78700256,-37.70389175
145.2514801,-37.95140457
144.76686096,-37.82649231
144.76686096,-37.82649231
145.04985046,-37.8257103
145.09240723,-37.90431976
144.92333984,-37.76585007
144.9099884,-37.63821793
145.01335144,-37.8537941
144.98291016,-37.81573486
144.94332886,-37.83274078
145.16955566,-37.85314178
145.15739441,-37.88197327
144.99406433,-37.70555115
145.00097656,-37.76945877
145.12869263,-37.81901932
144.74467468,-37.73246002
145.27806091,-37.88180923
145.16009521,-37.93340683
144.98886108,-37.82223129
144.978302,-37.79814529
145.11924744,-37.88790894
145.02946472,-37.63795853
145.10995483,-37.84538269
145.16537476,-37.83416367
145.07505798,-37.93968582
144.84002686,-37.76024246
144.91329956,-37.69088745
145.23724365,-37.86491013
145.07791138,-37.78911209
144.91329956,-37.69088364
144.95858765,-37.8159523
