lng,lat
145.05257149,-37.85200745
144.85210423,-37.67300378
145.05257149,-37.85200745
144.72500301,-37.58079181
144.9904782,-37.64832977
145.34128946,-38.04487071
145.03091016,-37.83778055
144.91531017,-37.69425911
144.82925001,-37.82571523
144.77912586,-37.85400938
144.77912586,-37.85400938
144.77573845,-37.8649493
145.0628824,-37.74411265
145.35984069,-37.75661076
145.03138336,-37.87360037
145.02595091,-37.8356595
145.36460688,-37.86343826
145.16233819,-38.17500957
144.32906597,-38.1446095
145.15384114,-37.81937173
144.87927916,-37.78705131
145.03229052,-37.85193765
145.02821238,-37.79107747
145.09463741,-37.77379634
144.8740708,-37.81934559
144.93805785,-37.75785013
145.14240504,-37.90439045
145.08096031,-37.86357843
145.03489019,-37.90328902
145.1498892,-38.19692924
144.93070935,-37.82163195
144.99224019,-37.876254
145.13828987,-37.88592077
144.47773972,-38.19246063
144.94056983,-37.82547349
145.13572838,-38.14667956
144.97789125,-37.8819195
145.04396941,-37.84849181
144.93731203,-37.77047014
144.96291191,-37.82721385
145.04486734,-37.80172534
145.1066477,-37.99338972
144.96162037,-37.6919135
146.61092345,-36.14686103
145.05906596,-37.74032957
145.13828987,-37.88592077
144.92116708,-37.72116067
144.93978498,-37.78342019
144.93978498,-37.78342019
145.37678668,-37.86333138
145.07132378,-37.84416731
145.16186922,-38.10881029
145.03372628,-37.59400943
144.94752972,-37.82638102
145.01562156,-37.86085749
145.12590081,-37.85691578
145.08711972,-37.70286155
144.80835326,-37.81544981
145.11971402,-38.06456961
144.93070935,-37.82163195
145.09328934,-37.69388027
145.3615687,-37.84846061
145.05257149,-37.85200745
144.90964944,-37.79547321
145.15056916,-37.99151453
144.9490892,-37.82651232
144.83448001,-37.8254272
145.07909812,-37.68790357
145.15295189,-37.9024789
145.07909812,-37.68790357
144.84897979,-37.82493604
145.23748787,-37.97247047
145.12584966,-37.89247171
144.85642022,-37.82449419
145.12584966,-37.89247171
144.90327151,-37.83255808
145.16413917,-37.88888991
145.19354416,-37.9738305
144.94579951,-37.73229285
145.00099249,-37.82912563
144.85642022,-37.82449419
144.99001292,-37.81755006
144.93559016,-37.75208995
145.12970145,-37.87203016
145.02143024,-37.8264882
145.26933917,-37.8486499
144.78227836,-37.72741411
145.15223743,-37.93014255
145.12497082,-37.85680568
145.11018226,-37.87620026
145.0716891,-37.81168476
145.06795916,-37.75960463
145.25773801,-37.89174786
144.98801004,-37.82917998
144.76000942,-37.86907611
145.15251088,-37.70538068
145.0123404,-37.68920004
145.02482431,-37.66027162
145.14429077,-37.57115009
144.95855001,-37.82816014
144.90641033,-37.83367893
144.84969321,-37.72603013
144.86016824,-37.72756853
144.99744962,-37.74460239
144.90291173,-37.83236793
145.09422935,-38.0097978
145.10925054,-37.98661005
145.090277,-37.88273352
145.21608192,-37.99278921
145.12970145,-37.87203016
145.11932048,-37.81733775
144.88104005,-37.82553815
145.01223697,-37.96554003
144.9329993,-37.78842409
145.03236002,-37.56487
144.98758978,-37.9081698
144.98605133,-37.91079015
144.87927916,-37.78705131
145.44306288,-37.92456932
144.89686042,-37.79340917
144.94048874,-37.82376398
145.15750025,-38.11268876
145.01977139,-37.7829443
144.87235834,-37.78425259
144.7675994,-37.86815594
144.93650779,-37.79790039
144.7675994,-37.86815594
144.52037002,-36.67988226
144.78167934,-37.73071996
145.0992576,-37.77040807
144.84897979,-37.82493604
144.80835326,-37.81544981
144.88607388,-37.70728285
145.25957069,-37.92822642
144.99342737,-37.71843051
144.88104005,-37.82553815
145.22196513,-37.97868059
145.22102948,-37.98361994
145.0300508,-37.85162619
144.91803272,-37.71515877
145.1076547,-37.88940057
145.1668103,-37.87438769
145.11398929,-37.85551389
145.02532838,-37.82729138
144.98798545,-37.91889029
145.33692905,-37.81218844
145.12735607,-37.88469953
145.10904716,-37.98731937
144.75620021,-37.85483351
145.02261011,-37.74255937
144.48112201,-38.19376752
145.03930962,-37.77494986
145.17250091,-38.09944047
144.99130982,-37.83895085
145.12559746,-37.79144026
145.16855987,-37.96444061
144.93794208,-37.76260009
144.97057039,-37.80747772
144.95234212,-37.81513938
144.77351624,-37.77837973
144.95234212,-37.81513938
144.99223706,-37.87625115
