lng,lat
144.92194444,-37.79305556
144.92194444,-37.79305556
144.92194444,-37.79305556
144.92194444,-37.79305556
144.92194444,-37.79305556
144.92194444,-37.79305556
144.92194444,-37.79305556
144.92194444,-37.79305556
144.92194444,-37.79305556
144.92194444,-37.79305556
144.92194444,-37.79305556
144.92194444,-37.79305556
144.92194444,-37.79305556
144.92194444,-37.79305556
144.92194444,-37.79305556
144.92194444,-37.79305556
144.92194444,-37.79305556
144.92194444,-37.79305556
144.92194444,-37.79305556
144.92194444,-37.79305556
144.92194444,-37.79305556
144.92194444,-37.79305556
144.92194444,-37.79305556
144.92194444,-37.79305556
144.92194444,-37.79305556
144.92194444,-37.79305556
144.92194444,-37.79305556
144.92194444,-37.79305556
144.92194444,-37.79305556
144.92194444,-37.79305556
144.92194444,-37.79305556
144.92194444,-37.79305556
144.92194444,-37.79305556
144.92194444,-37.79305556
144.92194444,-37.79305556
144.92194444,-37.79305556
144.92194444,-37.79305556
144.92194444,-37.79305556
144.92194444,-37.79305556
144.92194444,-37.79305556
144.92194444,-37.79305556
144.92194444,-37.79305556
144.92194444,-37.79305556
144.92194444,-37.79305556
144.92194444,-37.79305556
144.92194444,-37.79305556
144.92194444,-37.79305556
144.92194444,-37.79305556
144.92194444,-37.79305556
144.92194444,-37.79305556
144.92194444,-37.79305556
144.92194444,-37.79305556
144.92194444,-37.79305556
144.92194444,-37.79305556
144.92194444,-37.79305556
144.92194444,-37.79305556
144.92194444,-37.79305556
144.92194444,-37.79305556
144.92194444,-37.79305556
144.92194444,-37.79305556
144.92194444,-37.79305556
144.92194444,-37.79305556
144.92194444,-37.79305556
144.92194444,-37.79305556
144.92194444,-37.79305556
144.92194444,-37.79305556
144.92194444,-37.79305556
144.92194444,-37.79305556
144.92194444,-37.79305556
144.92194444,-37.79305556
144.92194444,-37.79305556
144.92194444,-37.79305556
144.92194444,-37.79305556
144.92194444,-37.79305556
144.92194444,-37.79305556
144.92194444,-37.79305556
144.92194444,-37.79305556
144.92194444,-37.79305556
144.92194444,-37.79305556
144.92194444,-37.79305556
144.92194444,-37.79305556
144.92194444,-37.79305556
144.92194444,-37.79305556
144.92194444,-37.79305556
144.92194444,-37.79305556
144.92194444,-37.79305556
144.92194444,-37.79305556
144.92194444,-37.79305556
144.92194444,-37.79305556
144.92194444,-37.79305556
144.92194444,-37.79305556
144.92194444,-37.79305556
144.92194444,-37.79305556
144.92194444,-37.79305556
144.92194444,-37.79305556
144.92194444,-37.79305556
144.92194444,-37.79305556
144.92194444,-37.79305556
