tweet_id,created_at,coordinates
1052143567144136704,2018-10-16 10:25:48,
1052142558837702656,2018-10-16 10:21:48,
1052141798125133825,2018-10-16 10:18:47,
1052141792131452930,2018-10-16 10:18:45,
1052141789937889280,2018-10-16 10:18:45,
1052140031484338176,2018-10-16 10:11:45,"{'type': 'Point', 'coordinates': [4.33545, 50.8415]}"
1052139797349847041,2018-10-16 10:10:50,
1052134012540530688,2018-10-16 09:47:50,"{'type': 'Point', 'coordinates': [4.33545, 50.8415]}"
1052129470637854720,2018-10-16 09:29:48,"{'type': 'Point', 'coordinates': [4.33545, 50.8415]}"
1052127195991281664,2018-10-16 09:20:45,"{'type': 'Point', 'coordinates': [4.33545, 50.8415]}"
1052124176818077696,2018-10-16 09:08:45,"{'type': 'Point', 'coordinates': [4.33545, 50.8415]}"
1052124173294809088,2018-10-16 09:08:45,
1052122161564004352,2018-10-16 09:00:45,"{'type': 'Point', 'coordinates': [4.33545, 50.8415]}"
1052122144530989057,2018-10-16 09:00:41,
1052122143306276864,2018-10-16 09:00:41,
1052113849384665089,2018-10-16 08:27:43,"{'type': 'Point', 'coordinates': [4.33545, 50.8415]}"
1052105560638857216,2018-10-16 07:54:47,"{'type': 'Point', 'coordinates': [4.33545, 50.8415]}"
1052103050129809409,2018-10-16 07:44:48,"{'type': 'Point', 'coordinates': [4.33545, 50.8415]}"
1052102792150769664,2018-10-16 07:43:47,"{'type': 'Point', 'coordinates': [4.33545, 50.8415]}"
1052102782247948288,2018-10-16 07:43:45,
1052100767857999872,2018-10-16 07:35:44,"{'type': 'Point', 'coordinates': [4.33545, 50.8415]}"
1052100758622138369,2018-10-16 07:35:42,
1052100756994551809,2018-10-16 07:35:42,
1052100278596579328,2018-10-16 07:33:48,"{'type': 'Point', 'coordinates': [4.33545, 50.8415]}"
1051836299831853057,2018-10-15 14:04:50,"{'type': 'Point', 'coordinates': [2.72198, 50.895]}"
1051814145321041920,2018-10-15 12:36:48,
1051814136823390208,2018-10-15 12:36:46,
1051813140332204032,2018-10-15 12:32:49,
1051809863280545793,2018-10-15 12:19:47,
1051809608090771456,2018-10-15 12:18:46,
1051809606731739137,2018-10-15 12:18:46,
1051809605544755200,2018-10-15 12:18:46,
1051551151135559681,2018-10-14 19:11:45,"{'type': 'Point', 'coordinates': [4.07968, 50.8726]}"
1051536552067850242,2018-10-14 18:13:45,
1051536550973120514,2018-10-14 18:13:45,
1051518943217819648,2018-10-14 17:03:46,"{'type': 'Point', 'coordinates': [4.27338, 50.7633]}"
1051518940852232193,2018-10-14 17:03:46,
1051507369748963328,2018-10-14 16:17:47,
1050906160897945600,2018-10-13 00:28:48,"{'type': 'Point', 'coordinates': [-83.4232, 33.8517]}"
1050507276346363905,2018-10-11 22:03:46,"{'type': 'Point', 'coordinates': [-83.4232, 33.8517]}"
1049111851970306048,2018-10-08 01:38:51,"{'type': 'Point', 'coordinates': [-83.4232, 33.8517]}"
1049111841077649408,2018-10-08 01:38:49,
1049095462253481985,2018-10-08 00:33:44,
1049095264018022400,2018-10-08 00:32:56,"{'type': 'Point', 'coordinates': [-83.4232, 33.8517]}"
1049090192940965891,2018-10-08 00:12:47,"{'type': 'Point', 'coordinates': [-83.4232, 33.8517]}"
1049084431632420866,2018-10-07 23:49:54,"{'type': 'Point', 'coordinates': [-83.4232, 33.8517]}"
1049076850763423744,2018-10-07 23:19:46,"{'type': 'Point', 'coordinates': [-83.4232, 33.8517]}"
1049073082386673664,2018-10-07 23:04:48,"{'type': 'Point', 'coordinates': [-83.4232, 33.8517]}"
1049069810062184449,2018-10-07 22:51:48,
1049069808245981184,2018-10-07 22:51:47,
1049069803665838084,2018-10-07 22:51:46,"{'type': 'Point', 'coordinates': [-83.4232, 33.8517]}"
1049069568226983937,2018-10-07 22:50:50,"{'type': 'Point', 'coordinates': [-83.4232, 33.8517]}"
1049069301314080768,2018-10-07 22:49:46,"{'type': 'Point', 'coordinates': [-83.4232, 33.8517]}"
1049069298172526601,2018-10-07 22:49:46,"{'type': 'Point', 'coordinates': [-83.4232, 33.8517]}"
1049068825059188736,2018-10-07 22:47:53,"{'type': 'Point', 'coordinates': [-83.4232, 33.8517]}"
1049068559870115840,2018-10-07 22:46:50,"{'type': 'Point', 'coordinates': [-83.4232, 33.8517]}"
1049068548897816576,2018-10-07 22:46:47,
1049068073054101504,2018-10-07 22:44:54,"{'type': 'Point', 'coordinates': [-83.4232, 33.8517]}"
1049068067660201985,2018-10-07 22:44:52,
1049068040569217024,2018-10-07 22:44:46,"{'type': 'Point', 'coordinates': [-83.4232, 33.8517]}"
1049067803104477184,2018-10-07 22:43:49,"{'type': 'Point', 'coordinates': [-83.4232, 33.8517]}"
1049067545901318145,2018-10-07 22:42:48,"{'type': 'Point', 'coordinates': [-83.4232, 33.8517]}"
1049036835920523265,2018-10-07 20:40:46,"{'type': 'Point', 'coordinates': [-83.4232, 33.8517]}"
1049036672388816896,2018-10-07 20:40:07,
1049034334039158784,2018-10-07 20:30:50,
1049034326011199489,2018-10-07 20:30:48,"{'type': 'Point', 'coordinates': [-83.4232, 33.8517]}"
1049032848458563584,2018-10-07 20:24:55,"{'type': 'Point', 'coordinates': [-83.4232, 33.8517]}"
1049029806216663041,2018-10-07 20:12:50,"{'type': 'Point', 'coordinates': [-83.4232, 33.8517]}"
1049029795055583233,2018-10-07 20:12:47,
1049027531968577541,2018-10-07 20:03:48,
1049027310253461505,2018-10-07 20:02:55,"{'type': 'Point', 'coordinates': [-83.4232, 33.8517]}"
1049027045903220736,2018-10-07 20:01:52,"{'type': 'Point', 'coordinates': [-83.4232, 33.8517]}"
1049000581661171714,2018-10-07 18:16:42,
1048999979765964800,2018-10-07 18:14:19,
1048699372660314120,2018-10-06 22:19:48,"{'type': 'Point', 'coordinates': [-83.4232, 33.8517]}"
1048684798749958144,2018-10-06 21:21:54,"{'type': 'Point', 'coordinates': [-83.4232, 33.8517]}"
1048684765929455616,2018-10-06 21:21:46,"{'type': 'Point', 'coordinates': [-83.4232, 33.8517]}"
1048300233292242944,2018-10-05 19:53:46,"{'type': 'Point', 'coordinates': [-83.4232, 33.8517]}"
1048300229609570307,2018-10-05 19:53:45,
1047976867586891777,2018-10-04 22:28:50,"{'type': 'Point', 'coordinates': [-83.4232, 33.8517]}"
1047976843167580160,2018-10-04 22:28:44,
1047635346429792257,2018-10-03 23:51:45,"{'type': 'Point', 'coordinates': [-83.4232, 33.8517]}"
1046883471594016769,2018-10-01 22:04:04,"{'type': 'Point', 'coordinates': [-83.4232, 33.8517]}"
1045789513908453376,2018-09-28 21:37:04,"{'type': 'Point', 'coordinates': [-83.4232, 33.8517]}"
1045786522593587200,2018-09-28 21:25:11,"{'type': 'Point', 'coordinates': [-83.4232, 33.8517]}"
1045767355081674752,2018-09-28 20:09:01,"{'type': 'Point', 'coordinates': [-83.4232, 33.8517]}"
1045767255911469059,2018-09-28 20:08:37,
1044705293375078400,2018-09-25 21:48:46,
1044705289604403201,2018-09-25 21:48:45,"{'type': 'Point', 'coordinates': [-83.4232, 33.8517]}"
1044701553586839552,2018-09-25 21:33:54,
1044701550743105536,2018-09-25 21:33:53,"{'type': 'Point', 'coordinates': [-83.4232, 33.8517]}"
1044701384023703552,2018-09-25 21:33:14,"{'type': 'Point', 'coordinates': [-83.4232, 33.8517]}"
1043672814711136256,2018-09-23 01:26:04,
1043672668048887808,2018-09-23 01:25:29,"{'type': 'Point', 'coordinates': [-104.982, 39.7607]}"
1043668474609000448,2018-09-23 01:08:49,"{'type': 'Point', 'coordinates': [-104.982, 39.7607]}"
1043668469710049280,2018-09-23 01:08:48,
1043664073760669696,2018-09-23 00:51:20,"{'type': 'Point', 'coordinates': [-104.984, 39.7613]}"
1043662515140538373,2018-09-23 00:45:08,"{'type': 'Point', 'coordinates': [-104.984, 39.7613]}"
1043661265636343808,2018-09-23 00:40:10,"{'type': 'Point', 'coordinates': [-104.984, 39.7613]}"
1043659496390885376,2018-09-23 00:33:08,"{'type': 'Point', 'coordinates': [-104.984, 39.7613]}"
1043659477155807232,2018-09-23 00:33:04,
1043653507360919553,2018-09-23 00:09:20,"{'type': 'Point', 'coordinates': [-104.984, 39.7629]}"
1043651234899595265,2018-09-23 00:00:19,"{'type': 'Point', 'coordinates': [-104.984, 39.7629]}"
1043651227643523074,2018-09-23 00:00:17,
1043647303985303552,2018-09-22 23:44:41,"{'type': 'Point', 'coordinates': [-104.984, 39.7629]}"
1043644009330237440,2018-09-22 23:31:36,"{'type': 'Point', 'coordinates': [-104.984, 39.7629]}"
1043632321235181568,2018-09-22 22:45:09,
1043632175973842944,2018-09-22 22:44:35,"{'type': 'Point', 'coordinates': [-105.007, 39.7614]}"
1043630373677268993,2018-09-22 22:37:25,"{'type': 'Point', 'coordinates': [-105.007, 39.7614]}"
1043628253058158593,2018-09-22 22:28:59,
1043628239149776896,2018-09-22 22:28:56,"{'type': 'Point', 'coordinates': [-105.007, 39.7614]}"
1043625523090481152,2018-09-22 22:18:08,"{'type': 'Point', 'coordinates': [-105.007, 39.7614]}"
1043623150133682176,2018-09-22 22:08:43,"{'type': 'Point', 'coordinates': [-105.007, 39.7614]}"
1043621376760930304,2018-09-22 22:01:40,"{'type': 'Point', 'coordinates': [-105.007, 39.7614]}"
1043621331194007552,2018-09-22 22:01:29,
1043621321488384000,2018-09-22 22:01:27,
1043621315977072640,2018-09-22 22:01:25,
1043591250279116801,2018-09-22 20:01:57,"{'type': 'Point', 'coordinates': [-104.996, 39.7428]}"
1043575406555803648,2018-09-22 18:59:00,
1043575379053764609,2018-09-22 18:58:53,"{'type': 'Point', 'coordinates': [-104.996, 39.7428]}"
1043574764340752384,2018-09-22 18:56:27,"{'type': 'Point', 'coordinates': [-104.996, 39.7428]}"
1043346404687663104,2018-09-22 03:49:01,
1043346400178843648,2018-09-22 03:49:00,"{'type': 'Point', 'coordinates': [-105.045, 39.7588]}"
1043343703547502592,2018-09-22 03:38:17,"{'type': 'Point', 'coordinates': [-105.045, 39.7588]}"
1043342448456609793,2018-09-22 03:33:18,"{'type': 'Point', 'coordinates': [-105.045, 39.7588]}"
1043340843082555392,2018-09-22 03:26:55,
1043340837558607872,2018-09-22 03:26:54,
1043340770181308417,2018-09-22 03:26:38,"{'type': 'Point', 'coordinates': [-105.045, 39.7588]}"
1043339894997835777,2018-09-22 03:23:09,"{'type': 'Point', 'coordinates': [-105.045, 39.7588]}"
1043338820815659008,2018-09-22 03:18:53,"{'type': 'Point', 'coordinates': [-105.045, 39.7588]}"
1043330448808701954,2018-09-22 02:45:37,"{'type': 'Point', 'coordinates': [-105.045, 39.7583]}"
1043328596763455488,2018-09-22 02:38:16,"{'type': 'Point', 'coordinates': [-105.045, 39.7583]}"
1043328569202692096,2018-09-22 02:38:09,
1043326174229872641,2018-09-22 02:28:38,
1043326160740990979,2018-09-22 02:28:35,"{'type': 'Point', 'coordinates': [-105.045, 39.7583]}"
1043324734476365824,2018-09-22 02:22:55,"{'type': 'Point', 'coordinates': [-105.045, 39.7583]}"
1043323376654344192,2018-09-22 02:17:31,"{'type': 'Point', 'coordinates': [-105.045, 39.7583]}"
1043322730496577537,2018-09-22 02:14:57,"{'type': 'Point', 'coordinates': [-105.045, 39.7583]}"
1043311716958920704,2018-09-22 01:31:11,"{'type': 'Point', 'coordinates': [-105.035, 39.7632]}"
1043309151168942080,2018-09-22 01:21:00,"{'type': 'Point', 'coordinates': [-105.035, 39.7632]}"
1043309136707035137,2018-09-22 01:20:56,
1043307376688947200,2018-09-22 01:13:56,"{'type': 'Point', 'coordinates': [-104.996, 39.7428]}"
1043307323526193152,2018-09-22 01:13:44,
1043307078671052800,2018-09-22 01:12:45,"{'type': 'Point', 'coordinates': [-105.035, 39.7632]}"
1043306942872137730,2018-09-22 01:12:13,"{'type': 'Point', 'coordinates': [-105.035, 39.7632]}"
1043306458664890368,2018-09-22 01:10:18,"{'type': 'Point', 'coordinates': [-105.035, 39.7632]}"
1043304890842447872,2018-09-22 01:04:04,"{'type': 'Point', 'coordinates': [-105.035, 39.7632]}"
1043295296363606016,2018-09-22 00:25:56,"{'type': 'Point', 'coordinates': [-105.044, 39.7761]}"
1043295267037093888,2018-09-22 00:25:49,
1043293031280123906,2018-09-22 00:16:56,
1043293025907212290,2018-09-22 00:16:55,"{'type': 'Point', 'coordinates': [-105.044, 39.7761]}"
1043293024854392832,2018-09-22 00:16:55,
1043291312798289920,2018-09-22 00:10:07,"{'type': 'Point', 'coordinates': [-105.044, 39.7761]}"
1043289612486098945,2018-09-22 00:03:21,"{'type': 'Point', 'coordinates': [-105.044, 39.7761]}"
1043287174601424896,2018-09-21 23:53:40,"{'type': 'Point', 'coordinates': [-105.044, 39.7761]}"
1043282012872876032,2018-09-21 23:33:09,
1043281984242544640,2018-09-21 23:33:02,"{'type': 'Point', 'coordinates': [-105.043, 39.7766]}"
1043280779076427776,2018-09-21 23:28:15,
1043280760290062337,2018-09-21 23:28:11,"{'type': 'Point', 'coordinates': [-105.043, 39.7766]}"
1043279959995965442,2018-09-21 23:25:00,
1043279919713845248,2018-09-21 23:24:50,"{'type': 'Point', 'coordinates': [-105.043, 39.7766]}"
1043279529530351622,2018-09-21 23:23:17,"{'type': 'Point', 'coordinates': [-105.043, 39.7766]}"
1043279488967159809,2018-09-21 23:23:08,
1043278012828057601,2018-09-21 23:17:16,"{'type': 'Point', 'coordinates': [-105.043, 39.7766]}"
1043277067998048257,2018-09-21 23:13:30,
1043277066362384385,2018-09-21 23:13:30,"{'type': 'Point', 'coordinates': [-105.043, 39.7766]}"
1043275363030319105,2018-09-21 23:06:44,"{'type': 'Point', 'coordinates': [-105.043, 39.7766]}"
1043264921222488064,2018-09-21 22:25:14,
1043264875219349504,2018-09-21 22:25:03,"{'type': 'Point', 'coordinates': [-105.044, 39.7789]}"
1043263612884869121,2018-09-21 22:20:02,"{'type': 'Point', 'coordinates': [-105.044, 39.7789]}"
1043261723678056449,2018-09-21 22:12:32,
1043261718166691841,2018-09-21 22:12:31,
1043254565049655297,2018-09-21 21:44:05,"{'type': 'Point', 'coordinates': [-105.044, 39.7789]}"
1043254228230303744,2018-09-21 21:42:45,
1043254227273957377,2018-09-21 21:42:45,"{'type': 'Point', 'coordinates': [-105.044, 39.7789]}"
1043253559205220353,2018-09-21 21:40:05,
1043253529853526017,2018-09-21 21:39:58,"{'type': 'Point', 'coordinates': [-105.044, 39.7789]}"
1043241574640037894,2018-09-21 20:52:28,"{'type': 'Point', 'coordinates': [-104.981, 39.7623]}"
1043239106531221505,2018-09-21 20:42:40,"{'type': 'Point', 'coordinates': [-104.981, 39.7623]}"
1043239069508136966,2018-09-21 20:42:31,
1043238210602782720,2018-09-21 20:39:06,"{'type': 'Point', 'coordinates': [-104.981, 39.7623]}"
1043238187580182533,2018-09-21 20:39:01,
1043238181972393985,2018-09-21 20:38:59,
1043229746149163008,2018-09-21 20:05:28,
1043229729862631424,2018-09-21 20:05:24,"{'type': 'Point', 'coordinates': [-104.998, 39.7501]}"
1043227365059514369,2018-09-21 19:56:00,"{'type': 'Point', 'coordinates': [-104.998, 39.7501]}"
1043226385467277313,2018-09-21 19:52:07,
1043226382019567616,2018-09-21 19:52:06,"{'type': 'Point', 'coordinates': [-104.998, 39.7501]}"
1043226379125436417,2018-09-21 19:52:05,
1042903165610340352,2018-09-20 22:27:45,
1042579124156547072,2018-09-20 01:00:08,"{'type': 'Point', 'coordinates': [-104.99, 39.7438]}"
1042578446600347648,2018-09-20 00:57:26,"{'type': 'Point', 'coordinates': [-104.99, 39.7438]}"
1042578335191191555,2018-09-20 00:56:59,"{'type': 'Point', 'coordinates': [-104.99, 39.7438]}"
1042578164474675201,2018-09-20 00:56:19,
1042423852918349824,2018-09-19 14:43:08,
1042239853012963328,2018-09-19 02:31:59,"{'type': 'Point', 'coordinates': [-105.008, 39.758]}"
1042233903510118400,2018-09-19 02:08:21,"{'type': 'Point', 'coordinates': [-105.008, 39.758]}"
1042233640065937408,2018-09-19 02:07:18,"{'type': 'Point', 'coordinates': [-105.008, 39.758]}"
1042229413079928832,2018-09-19 01:50:30,"{'type': 'Point', 'coordinates': [-105.007, 39.7582]}"
1042229066026414085,2018-09-19 01:49:07,
1042229065288216578,2018-09-19 01:49:07,"{'type': 'Point', 'coordinates': [-105.007, 39.7582]}"
1042225549513502720,2018-09-19 01:35:09,"{'type': 'Point', 'coordinates': [-105.007, 39.7582]}"
1042224506503417856,2018-09-19 01:31:00,"{'type': 'Point', 'coordinates': [-105.007, 39.7582]}"
1042221752116502528,2018-09-19 01:20:03,
1042221688153432070,2018-09-19 01:19:48,"{'type': 'Point', 'coordinates': [-105.007, 39.7582]}"
