tweet_id,created_at,coordinates
1050286508656095232,2018-10-11 07:26:31,
1046365907939930112,2018-09-30 11:47:27,"{'type': 'Point', 'coordinates': [101.76856668, 3.39593]}"
1041677974951653376,2018-09-17 13:19:17,
1038007034883452928,2018-09-07 10:12:17,
1030327626647269376,2018-08-17 05:37:03,
1029946919794008065,2018-08-16 04:24:15,
978568013241761792,2018-03-27 09:42:49,
975757098041729025,2018-03-19 15:33:15,"{'type': 'Point', 'coordinates': [101.45, 3.03333]}"
974524125212393473,2018-03-16 05:53:51,"{'type': 'Point', 'coordinates': [101.317, 3.22361]}"
973038587074793472,2018-03-12 03:30:51,"{'type': 'Point', 'coordinates': [103.367, 3.86667]}"
972340515944493056,2018-03-10 05:16:58,"{'type': 'Point', 'coordinates': [103.367, 3.86667]}"
971847036168523779,2018-03-08 20:36:04,"{'type': 'Point', 'coordinates': [101.383, 3.13333]}"
968295185150029824,2018-02-27 01:22:16,"{'type': 'Point', 'coordinates': [101.45, 3.03333]}"
968088133311983616,2018-02-26 11:39:31,"{'type': 'Point', 'coordinates': [101.44200201, 3.08586658]}"
964548934646616065,2018-02-16 17:16:01,"{'type': 'Point', 'coordinates': [101.383, 3.13333]}"
964548179176943617,2018-02-16 17:13:01,"{'type': 'Point', 'coordinates': [101.383, 3.13333]}"
963255280162177025,2018-02-13 03:35:29,"{'type': 'Point', 'coordinates': [101.45, 3.03333]}"
953999902274551808,2018-01-18 14:37:55,
949672542293327872,2018-01-06 16:02:32,"{'type': 'Point', 'coordinates': [102.56858382, 2.0469978]}"
949523066241126400,2018-01-06 06:08:34,"{'type': 'Point', 'coordinates': [102.567, 2.03333]}"
948754562843860992,2018-01-04 03:14:49,"{'type': 'Point', 'coordinates': [101.45, 3.03333]}"
947126667541016576,2017-12-30 15:26:08,
947124046285627393,2017-12-30 15:15:44,
946791652441681920,2017-12-29 17:14:55,"{'type': 'Point', 'coordinates': [101.45, 3.03333]}"
946324287883038720,2017-12-28 10:17:46,"{'type': 'Point', 'coordinates': [101.46125871, 3.10861122]}"
944933194847215617,2017-12-24 14:10:04,
944795285175308288,2017-12-24 05:02:04,"{'type': 'Point', 'coordinates': [101.62386436, 2.9953726]}"
938985520633331718,2017-12-08 04:16:08,
938705164071874560,2017-12-07 09:42:06,
937270728419811328,2017-12-03 10:42:09,"{'type': 'Point', 'coordinates': [101.6165486, 3.12714157]}"
936742863584423936,2017-12-01 23:44:37,
935750922940141569,2017-11-29 06:03:00,"{'type': 'Point', 'coordinates': [100.333, 5.41667]}"
935060173944737793,2017-11-27 08:18:12,"{'type': 'Point', 'coordinates': [100.31358333, 5.43165333]}"
934429276702724096,2017-11-25 14:31:15,"{'type': 'Point', 'coordinates': [100.33912, 5.4159499]}"
934428574576140288,2017-11-25 14:28:27,"{'type': 'Point', 'coordinates': [100.28631186, 5.39629361]}"
934428435694411776,2017-11-25 14:27:54,"{'type': 'Point', 'coordinates': [100.33314, 5.41625]}"
934352494519390208,2017-11-25 09:26:08,
934351813234577408,2017-11-25 09:23:26,"{'type': 'Point', 'coordinates': [100.33912, 5.4159499]}"
933319799207165952,2017-11-22 13:02:35,
931951081223016448,2017-11-18 18:23:47,"{'type': 'Point', 'coordinates': [101.45, 3.03333]}"
931066809234714624,2017-11-16 07:50:00,"{'type': 'Point', 'coordinates': [101.45, 3.03333]}"
930612502089445376,2017-11-15 01:44:45,"{'type': 'Point', 'coordinates': [101.45, 3.03333]}"
929653012380962816,2017-11-12 10:12:04,"{'type': 'Point', 'coordinates': [101.45, 3.03333]}"
929651386265903104,2017-11-12 10:05:37,
929651200600850432,2017-11-12 10:04:52,
927809359538614272,2017-11-07 08:06:03,
927774589421207552,2017-11-07 05:47:53,
927512951682142208,2017-11-06 12:28:14,"{'type': 'Point', 'coordinates': [101.45, 3.03333]}"
926979134139465728,2017-11-05 01:07:02,"{'type': 'Point', 'coordinates': [101.45, 3.03333]}"
926969753427726336,2017-11-05 00:29:46,"{'type': 'Point', 'coordinates': [101.45, 3.03333]}"
926436658584502273,2017-11-03 13:11:26,"{'type': 'Point', 'coordinates': [101.45, 3.03333]}"
