tweet_id,created_at,coordinates
1053221723070517249,2018-10-19 09:50:01,
1053221467134091264,2018-10-19 09:49:00,
1053186534789341184,2018-10-19 07:30:11,
1053182721730600961,2018-10-19 07:15:02,
1053181151664320512,2018-10-19 07:08:48,
1053178996534452225,2018-10-19 07:00:14,
1053176679974096896,2018-10-19 06:51:02,
1053176678657089536,2018-10-19 06:51:01,
1053170639769493505,2018-10-19 06:27:02,
1053165356963909632,2018-10-19 06:06:02,
1053161590306918400,2018-10-19 05:51:04,"{'type': 'Point', 'coordinates': [145.05257149, -37.85200745]}"
1053161585487695873,2018-10-19 05:51:03,"{'type': 'Point', 'coordinates': [144.85210423, -37.67300378]}"
1053160079451516928,2018-10-19 05:45:04,"{'type': 'Point', 'coordinates': [145.05257149, -37.85200745]}"
1053160074422538241,2018-10-19 05:45:03,"{'type': 'Point', 'coordinates': [144.72500301, -37.58079181]}"
1053156301453189121,2018-10-19 05:30:03,"{'type': 'Point', 'coordinates': [144.9904782, -37.64832977]}"
1053155554804166658,2018-10-19 05:27:05,"{'type': 'Point', 'coordinates': [145.34128946, -38.04487071]}"
1053155546524569602,2018-10-19 05:27:03,"{'type': 'Point', 'coordinates': [145.03091016, -37.83778055]}"
1053152533294669825,2018-10-19 05:15:05,"{'type': 'Point', 'coordinates': [144.91531017, -37.69425911]}"
1053151582672564225,2018-10-19 05:11:18,
1053149500884234240,2018-10-19 05:03:02,
1053144974135414784,2018-10-19 04:45:02,"{'type': 'Point', 'coordinates': [144.82925001, -37.82571523]}"
1053144962957754368,2018-10-19 04:45:00,
1053136672475344897,2018-10-19 04:12:03,"{'type': 'Point', 'coordinates': [144.77912586, -37.85400938]}"
1053134403524685824,2018-10-19 04:03:02,
1053131383638388736,2018-10-19 03:51:02,"{'type': 'Point', 'coordinates': [144.77912586, -37.85400938]}"
1053130635626213376,2018-10-19 03:48:04,"{'type': 'Point', 'coordinates': [144.77573845, -37.8649493]}"
1053129874276143105,2018-10-19 03:45:02,
1053115530175868929,2018-10-19 02:48:02,"{'type': 'Point', 'coordinates': [145.0628824, -37.74411265]}"
1053114777369595904,2018-10-19 02:45:03,"{'type': 'Point', 'coordinates': [145.35984069, -37.75661076]}"
1053113261661446145,2018-10-19 02:39:02,
1053112511052959745,2018-10-19 02:36:03,
1053110244698517504,2018-10-19 02:27:02,"{'type': 'Point', 'coordinates': [145.03138336, -37.87360037]}"
1053109495834898432,2018-10-19 02:24:04,"{'type': 'Point', 'coordinates': [145.02595091, -37.8356595]}"
1053108737634783232,2018-10-19 02:21:03,"{'type': 'Point', 'coordinates': [145.36460688, -37.86343826]}"
1053084576728268800,2018-10-19 00:45:03,"{'type': 'Point', 'coordinates': [145.16233819, -38.17500957]}"
1053081567298375681,2018-10-19 00:33:05,"{'type': 'Point', 'coordinates': [144.32906597, -38.1446095]}"
1053081558783950849,2018-10-19 00:33:03,"{'type': 'Point', 'coordinates': [145.15384114, -37.81937173]}"
1053080044820553728,2018-10-19 00:27:02,"{'type': 'Point', 'coordinates': [144.87927916, -37.78705131]}"
1053078540080504833,2018-10-19 00:21:03,"{'type': 'Point', 'coordinates': [145.03229052, -37.85193765]}"
1053075507540045824,2018-10-19 00:09:00,
1053074760903516160,2018-10-19 00:06:02,
1053073256255639552,2018-10-19 00:00:04,"{'type': 'Point', 'coordinates': [145.02821238, -37.79107747]}"
1053072498735034369,2018-10-18 23:57:03,"{'type': 'Point', 'coordinates': [145.09463741, -37.77379634]}"
1053070986092806144,2018-10-18 23:51:02,"{'type': 'Point', 'coordinates': [144.8740708, -37.81934559]}"
1053070240479772674,2018-10-18 23:48:05,"{'type': 'Point', 'coordinates': [144.93805785, -37.75785013]}"
1053069478966116353,2018-10-18 23:45:03,"{'type': 'Point', 'coordinates': [145.14240504, -37.90439045]}"
1053065702389669888,2018-10-18 23:30:03,"{'type': 'Point', 'coordinates': [145.08096031, -37.86357843]}"
1053064947406528512,2018-10-18 23:27:03,
1053064201835409409,2018-10-18 23:24:05,
1053063437285175296,2018-10-18 23:21:03,
1053061927247609856,2018-10-18 23:15:03,
1053061173396987906,2018-10-18 23:12:03,"{'type': 'Point', 'coordinates': [145.03489019, -37.90328902]}"
1053058913745088513,2018-10-18 23:03:04,"{'type': 'Point', 'coordinates': [145.1498892, -38.19692924]}"
1053058174260002817,2018-10-18 23:00:08,
1053057399932706816,2018-10-18 22:57:03,
