tweet_id,created_at,coordinates
1053314839718780928,2018-10-19 16:00:02,"{'type': 'Point', 'coordinates': [144.92194444, -37.79305556]}"
1053307289220734976,2018-10-19 15:30:01,"{'type': 'Point', 'coordinates': [144.92194444, -37.79305556]}"
1053299740123643906,2018-10-19 15:00:02,"{'type': 'Point', 'coordinates': [144.92194444, -37.79305556]}"
1053292187780169729,2018-10-19 14:30:01,"{'type': 'Point', 'coordinates': [144.92194444, -37.79305556]}"
1053284643040940032,2018-10-19 14:00:02,"{'type': 'Point', 'coordinates': [144.92194444, -37.79305556]}"
1053277085442011137,2018-10-19 13:30:00,"{'type': 'Point', 'coordinates': [144.92194444, -37.79305556]}"
1053269537062154240,2018-10-19 13:00:01,"{'type': 'Point', 'coordinates': [144.92194444, -37.79305556]}"
1053261994365599745,2018-10-19 12:30:02,"{'type': 'Point', 'coordinates': [144.92194444, -37.79305556]}"
1053254438301839360,2018-10-19 12:00:01,"{'type': 'Point', 'coordinates': [144.92194444, -37.79305556]}"
1053246890861445120,2018-10-19 11:30:01,"{'type': 'Point', 'coordinates': [144.92194444, -37.79305556]}"
1053239343408508930,2018-10-19 11:00:02,"{'type': 'Point', 'coordinates': [144.92194444, -37.79305556]}"
1053231792323325952,2018-10-19 10:30:02,"{'type': 'Point', 'coordinates': [144.92194444, -37.79305556]}"
1053224252705394688,2018-10-19 10:00:04,"{'type': 'Point', 'coordinates': [144.92194444, -37.79305556]}"
1053216689406373889,2018-10-19 09:30:01,"{'type': 'Point', 'coordinates': [144.92194444, -37.79305556]}"
1053209140183523329,2018-10-19 09:00:01,"{'type': 'Point', 'coordinates': [144.92194444, -37.79305556]}"
1053194040638758912,2018-10-19 08:00:01,"{'type': 'Point', 'coordinates': [144.92194444, -37.79305556]}"
1053186492468613120,2018-10-19 07:30:01,"{'type': 'Point', 'coordinates': [144.92194444, -37.79305556]}"
1053178943346376704,2018-10-19 07:00:01,"{'type': 'Point', 'coordinates': [144.92194444, -37.79305556]}"
1053171393053962240,2018-10-19 06:30:01,"{'type': 'Point', 'coordinates': [144.92194444, -37.79305556]}"
1053163843831029760,2018-10-19 06:00:01,"{'type': 'Point', 'coordinates': [144.92194444, -37.79305556]}"
1053156307589464064,2018-10-19 05:30:05,"{'type': 'Point', 'coordinates': [144.92194444, -37.79305556]}"
1053148743309058048,2018-10-19 05:00:01,"{'type': 'Point', 'coordinates': [144.92194444, -37.79305556]}"
1053141191926067200,2018-10-19 04:30:01,"{'type': 'Point', 'coordinates': [144.92194444, -37.79305556]}"
1053133644879998976,2018-10-19 04:00:01,"{'type': 'Point', 'coordinates': [144.92194444, -37.79305556]}"
