user_id,tweets_count
733961780,161
2836002698,121
124026965,85
18147028,55
100804415,54
2776709822,48
2926205736,36
3198691364,33
35930369,24
26188993,18
28976080,18
2883981127,18
15614444,16
2262247590,16
3556222514,15
36090812,14
170709006,14
1157138402,14
8700802,13
15427017,13
2284501327,13
838885655228756000,13
133150512,12
737167395110805500,12
10080642,11
38421443,11
52373812,11
124115826,11
256016862,11
460940112,11
810350002614796300,11
14820495,10
35732805,10
35929770,10
65866035,10
137307594,10
137585602,10
924420870,10
383323,9
36653416,9
59468528,9
186110526,9
234596817,9
238417919,9
264552671,9
1349247961,9
2833573116,9
2985888676,9
21159545,8
22730477,8
28914637,8
31599336,8
59996326,8
108788527,8
369349490,8
455754539,8
3247461438,8
721212194919047200,8
13338792,7
15338521,7
16122151,7
20273272,7
21854026,7
23261727,7
24956504,7
64932675,7
148252196,7
161502075,7
185453073,7
232242674,7
234009397,7
234220286,7
238549544,7
404869728,7
525783685,7
2770809724,7
2772295603,7
3132259671,7
3146790737,7
15296688,6
15938095,6
20297179,6
22535265,6
23185393,6
45805508,6
108907534,6
113278387,6
132973345,6
147466679,6
158540400,6
176367009,6
193947782,6
235760552,6
257710735,6
316884211,6
344422720,6
507348759,6
570408824,6
712160131,6
747465967,6
